x,y,z,map
18.697086,-32.70001,13.990621,9.314563
30.319984,0.43844905,7.2185163,9.335868
24.574137,-27.648523,11.892225,10.941152
-10.221378,-16.982365,19.635891,1.8626559
24.118431,11.632394,26.349062,6.4588675
11.239904,6.091356,15.530486,3.8562648
34.568954,8.631265,24.880209,7.700577
7.817108,-27.627514,1.4761578,9.523131
-10.684028,-28.540682,19.466272,3.7113342
13.601412,-35.061928,15.365955,8.178938
-8.322708,1.1022089,6.264957,4.2037425
1.5461271,-20.396547,-8.003432,10.412195
33.20468,17.58309,35.041206,9.120527
-11.934747,1.6957824,2.7986603,5.30564
3.1871128,-16.364634,-10.650054,11.375963
16.989609,12.466759,-1.5052747,6.9942546
28.691366,12.100948,-9.423211,9.523093
13.10182,12.2934885,-1.6827672,6.7698083
30.843735,13.614842,28.893368,7.6111755
27.627792,11.945681,-9.621274,9.371126
10.331056,4.2956653,16.471138,3.4978013
11.17299,4.5567393,16.803484,3.5908992
-2.6076403,-3.4991632,-16.303677,9.718125
-2.5051675,-2.5734613,-16.389612,9.57317
-21.102219,-6.688348,-2.9189384,7.1879325
29.701843,0.6791755,6.137343,9.220511
21.056717,11.308777,5.4098396,6.4990573
21.95755,-0.4491013,22.597988,4.917211
2.639835,8.888388,6.249094,4.3208694
5.5068808,11.434257,0.6894251,5.6695857
35.356792,10.829972,18.015821,9.114318
-17.54457,-5.9647236,5.5486083,5.2401824
11.376251,-23.91571,-2.8090417,11.021019
-5.0732417,-5.297843,13.364349,1.9376585
33.302658,17.099503,18.76273,8.5052185
6.138294,-34.425213,13.472523,7.418818
-7.958636,-7.396045,-15.706673,10.149169
16.765635,8.885006,-10.811013,8.739703
24.945478,-32.19718,17.354046,9.84173
-20.649488,-6.022964,-0.46883032,6.7070475
0.9812915,-33.8186,12.618164,6.5179887
34.501865,16.338768,20.77965,8.899733
-8.764035,6.0835347,-9.858026,7.272966
-3.074334,8.558773,-5.359454,6.266188
-20.52789,-20.916548,-12.068763,9.199463
-18.952639,-18.770561,10.710666,4.372169
-2.1102693,-6.220789,-15.69357,10.18934
-4.180962,-5.940947,-15.872942,10.05247
31.166565,-0.5373598,0.20204796,9.944492
31.043089,3.177807,2.9149005,9.319474
-8.932843,-31.587866,7.108408,6.234746
-8.1439705,-31.61873,7.553913,6.2363806
-5.5419335,-14.210658,20.988014,0.8860569
4.7246356,-8.677922,23.023438,1.8353655
-9.45134,5.5136065,-5.691809,6.7083955
-5.762614,-32.356472,11.5129795,5.9019337
-5.5452895,-32.20564,10.702067,6.0411243
-4.963445,-32.734997,12.3547735,5.840465
34.49854,13.887857,17.85377,8.995383
34.986748,14.384469,20.046165,9.20975
5.5533166,-30.59532,6.8023376,8.268962
23.304436,12.61219,-1.6769692,7.900941
-6.9909377,-6.581039,13.301497,2.0847964
14.39786,12.5765505,-4.74794,7.364816
-4.419584,-22.490408,-6.358845,9.361148
